OBJECTID,NAME,POP2010,POP10_SQMI,POP2012,POP12_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FIPS_I,FIPSST,FIPSCO,STPO,COUNTYNAME,CNTYDISP,CNTYSHORT,CNTYSORT,CNTYCATEGO,CNTYACTIVE,INDEPCITY,CNTYSTAND,SEATLAT,SEATLONG,NAD83UTM,NAD83STATE,NAD27STATE,STATENAME,CNTYSTARTD,CNTYENDD,LASTCHGD,NOTE,BOTTOM,TOP_,LEFT_,RIGHT_,OBJECTID_1,GlobalID,Shape_Length,Shape_Area,LAT,LONG
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12059,12,059,FL,Holmes,"Holmes County, Florida","HOLMES, FL",FL-Holmes,County,Y,N,Y,30.79167,-85.67972,26916,26960,26760,Florida,,,2003-02-24, ,30.70302,30.99693,-86.03777,-85.49827,,,1.747539793,0.119380015,30.86796179,-85.81427403
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12061,12,061,FL,Indian River,"Indian River County, Florida","INDIAN RIVER, FL",FL-Indian River,County,Y,N,Y,27.63833,-80.3975,26917,26958,26758,Florida,,,2003-02-24, ,27.55721,27.85973,-80.88157,-80.321,,,3.611238528,0.122016445,27.69285614,-80.61579834
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12063,12,063,FL,Jackson,"Jackson County, Florida","JACKSON, FL",FL-Jackson,County,Y,N,Y,30.77417,-85.22694,26916,26960,26760,Florida,,,2003-02-24, ,30.56434,31.00097,-85.6003,-84.85792,,,2.233264883,0.233010759,30.7954219,-85.21542967
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12065,12,065,FL,Jefferson,"Jefferson County, Florida","JEFFERSON, FL",FL-Jefferson,County,Y,N,Y,30.545,-83.87028,26917,26960,26760,Florida,,,2003-02-24, ,30.08249,30.6721,-84.07623,-83.60412,,,2.664739169,0.148790784,30.43787238,-83.89529453
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12067,12,067,FL,Lafayette,"Lafayette County, Florida","LAFAYETTE, FL",FL-Lafayette,County,Y,N,Y,30.05278,-83.175,26917,26960,26760,Florida,,,2003-02-24, ,29.82222,30.26068,-83.37089,-82.87522,,,1.871643402,0.132663335,29.98549508,-83.1809318
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12069,12,069,FL,Lake,"Lake County, Florida","LAKE, FL",FL-Lake,County,Y,N,Y,28.80389,-81.72583,26917,26958,26758,Florida,,,2003-02-24, ,28.34516,29.27699,-81.95764,-81.34964,,,3.12646495,0.276712913,28.76123116,-81.71172494
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12071,12,071,FL,Lee,"Lee County, Florida","LEE, FL",FL-Lee,County,Y,N,Y,26.64028,-81.8725,26917,26959,26759,Florida,,,2003-02-24, ,26.31623,26.78956,-82.27227,-81.56218,,,13.06550075,0.191720526,26.57813551,-81.82153304
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12073,12,073,FL,Leon,"Leon County, Florida","LEON, FL",FL-Leon,County,Y,N,Y,30.43806,-84.28083,26916,26960,26760,Florida,,,2003-02-24, ,30.27344,30.68526,-84.71524,-83.97716,,,2.424582862,0.170719119,30.45806991,-84.2780537
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12075,12,075,FL,Levy,"Levy County, Florida","LEVY, FL",FL-Levy,County,Y,N,Y,29.4475,-82.6425,26917,26959,26759,Florida,,,2003-02-24, ,28.99301,29.59132,-83.16503,-82.40316,,,8.583804167,0.272896762,29.321456,-82.73916448
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12077,12,077,FL,Liberty,"Liberty County, Florida","LIBERTY, FL",FL-Liberty,County,Y,N,Y,30.43194,-84.97583,26916,26960,26760,Florida,,,2003-02-24, ,29.9714,30.60639,-85.15401,-84.54287,,,3.007210679,0.204666984,30.24122369,-84.88291838
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12079,12,079,FL,Madison,"Madison County, Florida","MADISON, FL",FL-Madison,County,Y,N,Y,30.46917,-83.41306,26917,26960,26760,Florida,,,2003-02-24, ,30.25995,30.65126,-83.82172,-83.17097,,,2.169189852,0.174113053,30.44412246,-83.47008122
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12081,12,081,FL,Manatee,"Manatee County, Florida","MANATEE, FL",FL-Manatee,County,Y,N,Y,27.49861,-82.575,26917,26959,26759,Florida,,,2003-02-24, ,27.20777,27.64666,-82.74634,-82.05435,,,5.1444247,0.178535384,27.47134969,-82.29950159
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12083,12,083,FL,Marion,"Marion County, Florida","MARION, FL",FL-Marion,County,Y,N,Y,29.18694,-82.14028,26917,26959,26759,Florida,,,2003-02-24, ,28.95978,29.52168,-82.53622,-81.6387,,,3.38940833,0.399632559,29.21029078,-82.05682206
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12085,12,085,FL,Martin,"Martin County, Florida","MARTIN, FL",FL-Martin,County,Y,N,Y,27.19722,-80.25306,26917,26958,26758,Florida,,,2003-02-24, ,26.95653,27.26383,-80.88564,-80.08036,,,4.292134947,0.154252499,27.07398393,-80.43922055
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12086,12,086,FL,Miami-Dade,"Miami-Dade County, Florida","MIAMI-DADE, FL",FL-Miami-Dade,County,Y,N,Y,25.77389,-80.19389,26917,26958,26758,Florida,1997-11-13,,2003-02-24,"History: Per FIPS6-4 Change Notice 5, Dade County officially changed its name to Miami-Dade County effective 11/13/97.  To maintain alphanumeric sequence Miami-Dade Co. will have code 086.",25.13742,25.97943,-80.87358,-80.11827,,,8.908882479,0.462086833,25.61279891,-80.56908693
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12087,12,087,FL,Monroe,"Monroe County, Florida","MONROE, FL",FL-Monroe,County,Y,N,Y,24.55528,-81.78278,26917,26958,26758,Florida,,,2003-02-24, ,24.52105,25.80561,-82.92641,-80.25261,,,33.39067151,0.240851377,25.41926107,-81.05035827
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12089,12,089,FL,Nassau,"Nassau County, Florida","NASSAU, FL",FL-Nassau,County,Y,N,Y,30.66944,-81.46278,26917,26958,26758,Florida,,,2003-02-24, ,30.27334,30.82978,-82.05048,-81.42673,,,5.205163985,0.158893842,30.60954555,-81.81022576
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12091,12,091,FL,Okaloosa,"Okaloosa County, Florida","OKALOOSA, FL",FL-Okaloosa,County,Y,N,Y,30.76194,-86.57056,26916,26960,26760,Florida,,,2003-02-24, ,30.37864,30.99698,-86.80027,-86.3884,,,3.858612213,0.228986163,30.70648575,-86.59644339
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12093,12,093,FL,Okeechobee,"Okeechobee County, Florida","OKEECHOBEE, FL",FL-Okeechobee,County,Y,N,Y,27.24361,-80.83,26917,26958,26758,Florida,,,2003-02-24, ,26.95892,27.64324,-81.21372,-80.67736,,,2.610460466,0.210753267,27.38610188,-80.88831634
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12095,12,095,FL,Orange,"Orange County, Florida","ORANGE, FL",FL-Orange,County,Y,N,Y,28.53806,-81.37944,26917,26958,26758,Florida,,,2003-02-24, ,28.34659,28.78609,-81.65873,-80.86291,,,2.709379354,0.239737733,28.51482088,-81.32358687
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12097,12,097,FL,Osceola,"Osceola County, Florida","OSCEOLA, FL",FL-Osceola,County,Y,N,Y,28.29167,-81.40778,26917,26958,26758,Florida,,,2003-02-24, ,27.64199,28.34859,-81.65727,-80.86139,,,3.401768463,0.358128527,28.06247844,-81.14921298
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12099,12,099,FL,Palm Beach,"Palm Beach County, Florida","PALM BEACH, FL",FL-Palm Beach,County,Y,N,Y,26.715,-80.05361,26917,26958,26758,Florida,,,2003-02-24, ,26.32076,26.97103,-80.88623,-80.03136,,,5.361894648,0.520145333,26.6467407,-80.46810836
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12101,12,101,FL,Pasco,"Pasco County, Florida","PASCO, FL",FL-Pasco,County,Y,N,Y,28.36444,-82.19611,26917,26959,26759,Florida,,,2003-02-24, ,28.17105,28.47855,-82.85237,-82.05522,,,2.964036135,0.182220271,28.30936749,-82.3915741
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12103,12,103,FL,Pinellas,"Pinellas County, Florida","PINELLAS, FL",FL-Pinellas,County,Y,N,Y,27.96556,-82.80028,26917,26959,26759,Florida,,,2003-02-24, ,27.61027,28.17335,-82.85113,-82.5822,,,6.963453847,0.070154677,27.93034293,-82.72178893
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12105,12,105,FL,Polk,"Polk County, Florida","POLK, FL",FL-Polk,County,Y,N,Y,27.89611,-81.84333,26917,26959,26759,Florida,,,2003-02-24,Misc: *** RD uses code 12105 for an UnKnown county in FL,27.64324,28.36187,-82.10624,-81.13105,,,3.772791356,0.477374347,27.94882545,-81.69742709
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12107,12,107,FL,Putnam,"Putnam County, Florida","PUTNAM, FL",FL-Putnam,County,Y,N,Y,29.64833,-81.63778,26917,26958,26758,Florida,,,2003-02-24, ,29.32444,29.83962,-82.05615,-81.43355,,,2.248482649,0.199536714,29.60859243,-81.74417216
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12109,12,109,FL,St. Johns,"St. Johns County, Florida","ST JOHNS, FL",FL-St. Johns,County,Y,N,Y,29.89444,-81.31472,26917,26958,26758,Florida,,,2003-02-24, ,29.62241,30.25294,-81.69039,-81.21298,,,5.254128293,0.158798636,29.90122548,-81.44384009
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12111,12,111,FL,St. Lucie,"St. Lucie County, Florida","ST LUCIE, FL",FL-St. Lucie,County,Y,N,Y,27.44639,-80.32583,26917,26958,26758,Florida,,,2003-02-24, ,27.20568,27.55871,-80.68,-80.19952,,,3.418169256,0.136127839,27.37647038,-80.48350183
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12113,12,113,FL,Santa Rosa,"Santa Rosa County, Florida","SANTA ROSA, FL",FL-Santa Rosa,County,Y,N,Y,30.63222,-87.03972,26916,26960,26760,Florida,,,2003-02-24, ,30.34189,30.99959,-87.31352,-86.78592,,,4.737248553,0.25054768,30.73092793,-87.01708302
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12115,12,115,FL,Sarasota,"Sarasota County, Florida","SARASOTA, FL",FL-Sarasota,County,Y,N,Y,27.33611,-82.53083,26917,26959,26759,Florida,,,2003-02-24, ,26.94532,27.38972,-82.64472,-82.0565,,,4.426643571,0.136560208,27.18073315,-82.32215639
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12117,12,117,FL,Seminole,"Seminole County, Florida","SEMINOLE, FL",FL-Seminole,County,Y,N,Y,28.80028,-81.27333,26917,26958,26758,Florida,,,2003-02-24, ,28.61028,28.87923,-81.45969,-80.98687,,,1.542565029,0.082488908,28.71695651,-81.23624822
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12119,12,119,FL,Sumter,"Sumter County, Florida","SUMTER, FL",FL-Sumter,County,Y,N,Y,28.66472,-82.11306,26917,26959,26759,Florida,,,2003-02-24, ,28.30456,28.96053,-82.3116,-81.95329,,,2.15727866,0.138788131,28.70439724,-82.0808728
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12121,12,121,FL,Suwannee,"Suwannee County, Florida","SUWANNEE, FL",FL-Suwannee,County,Y,N,Y,30.29472,-82.98417,26917,26960,26760,Florida,,,2003-02-24, ,29.88249,30.44252,-83.25324,-82.759,,,2.133886429,0.167872908,30.19550123,-82.99140309
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12123,12,123,FL,Taylor,"Taylor County, Florida","TAYLOR, FL",FL-Taylor,County,Y,N,Y,30.11722,-83.58194,26917,26960,26760,Florida,,,2003-02-24, ,29.6614,30.30421,-83.99238,-83.31886,,,4.484513353,0.253972755,30.04751697,-83.60266243
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12125,12,125,FL,Union,"Union County, Florida","UNION, FL",FL-Union,County,Y,N,Y,30.0225,-82.33972,26917,26960,26760,Florida,,,2003-02-24, ,29.92002,30.14312,-82.57603,-82.138,,,1.25252181,0.060494384,30.04388724,-82.37151253
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12127,12,127,FL,Volusia,"Volusia County, Florida","VOLUSIA, FL",FL-Volusia,County,Y,N,Y,29.02806,-81.30333,26917,26958,26758,Florida,,,2003-02-24, ,28.613,29.42705,-81.68088,-80.73282,,,11.07386029,0.292865259,29.06038476,-81.1922434
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12129,12,129,FL,Wakulla,"Wakulla County, Florida","WAKULLA, FL",FL-Wakulla,County,Y,N,Y,30.17583,-84.37528,26916,26960,26760,Florida,,,2003-02-24, ,29.96896,30.3035,-84.7378,-84.0755,,,6.322255664,0.149146804,30.16981,-84.40344575
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12131,12,131,FL,Walton,"Walton County, Florida","WALTON, FL",FL-Walton,County,Y,N,Y,30.72139,-86.11556,26916,26960,26760,Florida,,,2003-02-24, ,30.26919,30.99448,-86.39732,-85.84472,,,5.247775822,0.259874165,30.65953048,-86.16270515
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12133,12,133,FL,Washington,"Washington County, Florida","WASHINGTON, FL",FL-Washington,County,Y,N,Y,30.78167,-85.53861,26916,26960,26760,Florida,,,2003-02-24, ,30.38949,30.83055,-85.99369,-85.43226,,,2.332801195,0.150030526,30.61071339,-85.6654799
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13009,13,009,GA,Baldwin,"Baldwin County, Georgia","BALDWIN, GA",GA-Baldwin,County,Y,N,Y,33.08,-83.23222,26917,26966,26766,Georgia,,,2003-02-24, ,32.92614,33.19041,-83.42903,-83.04426,,,1.542426978,0.066897981,33.06894831,-83.24975986
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13011,13,011,GA,Banks,"Banks County, Georgia","BANKS, GA",GA-Banks,County,Y,N,Y,34.33361,-83.49917,26917,26967,26767,Georgia,,,2003-02-24, ,34.1975,34.49182,-83.6698,-83.33807,,,1.045142471,0.05935354,34.35405412,-83.49736944
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13013,13,013,GA,Barrow,"Barrow County, Georgia","BARROW, GA",GA-Barrow,County,Y,N,Y,33.9925,-83.72028,26917,26967,26767,Georgia,,,2003-02-24, ,33.89479,34.12758,-83.86912,-83.53738,,,1.071717942,0.041153918,33.99323689,-83.71264593
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13015,13,015,GA,Bartow,"Bartow County, Georgia","BARTOW, GA",GA-Bartow,County,Y,N,Y,34.165,-84.8,26916,26967,26767,Georgia,,,2003-02-24, ,34.0753,34.41306,-85.04708,-84.64429,,,1.572000413,0.119252884,34.23795267,-84.84066606
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13317,13,317,GA,Wilkes,"Wilkes County, Georgia","WILKES, GA",GA-Wilkes,County,Y,N,Y,33.73667,-82.73944,26917,26966,26766,Georgia,,,2003-02-24, ,33.59631,33.99093,-82.98736,-82.47952,,,1.838052806,0.119499964,33.78189085,-82.74320632
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13319,13,319,GA,Wilkinson,"Wilkinson County, Georgia","WILKINSON, GA",GA-Wilkinson,County,Y,N,Y,32.81111,-83.17278,26917,26966,26766,Georgia,,,2003-02-24, ,32.58426,33.00879,-83.40719,-82.94517,,,1.67106307,0.112707714,32.80233462,-83.17124151
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13321,13,321,GA,Worth,"Worth County, Georgia","WORTH, GA",GA-Worth,County,Y,N,Y,31.53056,-83.83556,26917,26967,26767,Georgia,,,2003-02-24, ,31.31838,31.84959,-84.03288,-83.64948,,,1.973850857,0.14135555,31.55138445,-83.85083673
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13017,13,017,GA,Ben Hill,"Ben Hill County, Georgia","BEN HILL, GA",GA-Ben Hill,County,Y,N,Y,31.71472,-83.25278,26917,26967,26767,Georgia,,,2003-02-24, ,31.65158,31.85192,-83.48441,-82.99579,,,1.432020153,0.062631989,31.75984689,-83.22050861
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13019,13,019,GA,Berrien,"Berrien County, Georgia","BERRIEN, GA",GA-Berrien,County,Y,N,Y,31.20722,-83.25028,26917,26967,26767,Georgia,,,2003-02-24, ,31.0254,31.47609,-83.43901,-83.0337,,,1.905294974,0.112296852,31.27601451,-83.22963338
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13021,13,021,GA,Bibb,"Bibb County, Georgia","BIBB, GA",GA-Bibb,County,Y,N,Y,32.84056,-83.6325,26917,26967,26767,Georgia,,,2003-02-24, ,32.66062,32.95279,-83.89303,-83.4896,,,1.34314945,0.063620254,32.80670728,-83.69793101
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13023,13,023,GA,Bleckley,"Bleckley County, Georgia","BLECKLEY, GA",GA-Bleckley,County,Y,N,Y,32.38667,-83.35472,26917,26967,26767,Georgia,,,2003-02-24, ,32.27236,32.58426,-83.49809,-83.13899,,,1.121712768,0.05442197,32.43438618,-83.32792316
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13025,13,025,GA,Brantley,"Brantley County, Georgia","BRANTLEY, GA",GA-Brantley,County,Y,N,Y,31.20417,-81.98139,26917,26966,26766,Georgia,,,2003-02-24, ,31.0106,31.37338,-82.28462,-81.73154,,,2.044226581,0.109664294,31.19695845,-81.98200895
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13027,13,027,GA,Brooks,"Brooks County, Georgia","BROOKS, GA",GA-Brooks,County,Y,N,Y,30.78472,-83.56,26917,26967,26767,Georgia,,,2003-02-24, ,30.63442,31.07885,-83.74387,-83.30908,,,2.131300973,0.121561216,30.84184454,-83.5802689
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13029,13,029,GA,Bryan,"Bryan County, Georgia","BRYAN, GA",GA-Bryan,County,Y,N,Y,32.13583,-81.62222,26917,26966,26766,Georgia,,,2003-02-24, ,31.72705,32.24135,-81.78193,-81.14273,,,3.900881318,0.109296485,32.01891521,-81.44851219
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13031,13,031,GA,Bulloch,"Bulloch County, Georgia","BULLOCH, GA",GA-Bulloch,County,Y,N,Y,32.44861,-81.78333,26917,26966,26766,Georgia,,,2003-02-24, ,32.15237,32.65334,-82.03024,-81.4328,,,2.19521939,0.171001349,32.39684006,-81.74304272
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13033,13,033,GA,Burke,"Burke County, Georgia","BURKE, GA",GA-Burke,County,Y,N,Y,33.08972,-82.01583,26917,26966,26766,Georgia,,,2003-02-24, ,32.80376,33.29722,-82.3165,-81.54183,,,2.504868116,0.20880035,33.06118264,-82.00082586
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13035,13,035,GA,Butts,"Butts County, Georgia","BUTTS, GA",GA-Butts,County,Y,N,Y,33.29444,-83.96611,26917,26967,26767,Georgia,,,2003-02-24, ,33.18029,33.45126,-84.12377,-83.80748,,,1.16570355,0.047637575,33.28911648,-83.95723832
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13037,13,037,GA,Calhoun,"Calhoun County, Georgia","CALHOUN, GA",GA-Calhoun,County,Y,N,Y,31.5375,-84.59944,26916,26967,26767,Georgia,,,2003-02-24, ,31.42788,31.64367,-84.82806,-84.41251,,,1.501452393,0.06974574,31.5292566,-84.62482506
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13039,13,039,GA,Camden,"Camden County, Georgia","CAMDEN, GA",GA-Camden,County,Y,N,Y,30.96361,-81.72278,26917,26966,26766,Georgia,,,2003-02-24, ,30.71088,31.16963,-81.93699,-81.40221,,,11.84514663,0.154955062,30.9336162,-81.68115756
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13043,13,043,GA,Candler,"Candler County, Georgia","CANDLER, GA",GA-Candler,County,Y,N,Y,32.39694,-82.06028,26917,26966,26766,Georgia,,,2003-02-24, ,32.26864,32.56006,-82.25467,-81.91865,,,1.041164587,0.061771189,32.40345228,-82.07371227
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13045,13,045,GA,Carroll,"Carroll County, Georgia","CARROLL, GA",GA-Carroll,County,Y,N,Y,33.58,-85.07667,26916,26967,26767,Georgia,,,2003-02-24, ,33.42551,33.81236,-85.33823,-84.80893,,,1.747983137,0.126732537,33.58279294,-85.07980619
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13047,13,047,GA,Catoosa,"Catoosa County, Georgia","CATOOSA, GA",GA-Catoosa,County,Y,N,Y,34.91583,-85.10917,26916,26967,26767,Georgia,,,2003-02-24, ,34.76764,34.98765,-85.26512,-84.97966,,,1.025652523,0.041551593,34.90357584,-85.13810702
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13049,13,049,GA,Charlton,"Charlton County, Georgia","CHARLTON, GA",GA-Charlton,County,Y,N,Y,30.83028,-82.01,26917,26966,26766,Georgia,,,2003-02-24, ,30.35564,31.07582,-82.42044,-81.89222,,,3.052930614,0.191089591,30.78159323,-82.13797685
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13051,13,051,GA,Chatham,"Chatham County, Georgia","CHATHAM, GA",GA-Chatham,County,Y,N,Y,32.08333,-81.1,26917,26966,26766,Georgia,,,2003-02-24, ,31.72093,32.23759,-81.3917,-80.84055,,,12.81872882,0.109427512,32.01142094,-81.14068362
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13053,13,053,GA,Chattahoochee,"Chattahoochee County, Georgia","CHATTAHOOCHEE, GA",GA-Chattahoochee,County,Y,N,Y,32.30528,-84.77278,26916,26967,26767,Georgia,,,2003-02-24, ,32.22095,32.53496,-85.0081,-84.63732,,,1.434211725,0.062317475,32.34695604,-84.7870909
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13055,13,055,GA,Chattooga,"Chattooga County, Georgia","CHATTOOGA, GA",GA-Chattooga,County,Y,N,Y,34.48056,-85.34778,26916,26967,26767,Georgia,,,2003-02-24, ,34.2861,34.58933,-85.52726,-85.10775,,,1.291190462,0.079689109,34.47499301,-85.34535235
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13057,13,057,GA,Cherokee,"Cherokee County, Georgia","CHEROKEE, GA",GA-Cherokee,County,Y,N,Y,34.23667,-84.49083,26916,26967,26767,Georgia,,,2003-02-24, ,34.0733,34.41259,-84.65923,-84.25742,,,1.519637699,0.110000325,34.24386866,-84.47644014
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13059,13,059,GA,Clarke,"Clarke County, Georgia","CLARKE, GA",GA-Clarke,County,Y,N,Y,33.96083,-83.37806,26917,26967,26767,Georgia,,,2003-02-24, ,33.84811,34.04057,-83.53738,-83.24078,,,0.915442902,0.030636585,33.95125634,-83.3674335
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13061,13,061,GA,Clay,"Clay County, Georgia","CLAY, GA",GA-Clay,County,Y,N,Y,31.60889,-85.04722,26916,26967,26767,Georgia,,,2003-02-24, ,31.48587,31.78046,-85.14113,-84.7991,,,1.326433295,0.053426217,31.62637026,-84.98019409
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13063,13,063,GA,Clayton,"Clayton County, Georgia","CLAYTON, GA",GA-Clayton,County,Y,N,Y,33.52139,-84.35389,26916,26967,26767,Georgia,,,2003-02-24, ,33.35259,33.64881,-84.45893,-84.24362,,,1.131291725,0.036275148,33.5419035,-84.35770117
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13065,13,065,GA,Clinch,"Clinch County, Georgia","CLINCH, GA",GA-Clinch,County,Y,N,Y,31.03639,-82.74722,26917,26966,26766,Georgia,,,2003-02-24, ,30.58174,31.18475,-82.97137,-82.41877,,,2.192134076,0.201424322,30.91495013,-82.70602613
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13067,13,067,GA,Cobb,"Cobb County, Georgia","COBB, GA",GA-Cobb,County,Y,N,Y,33.9525,-84.55,26916,26967,26767,Georgia,,,2003-02-24, ,33.74351,34.08144,-84.73964,-84.37473,,,1.30241882,0.087014705,33.94140436,-84.57673889
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13069,13,069,GA,Coffee,"Coffee County, Georgia","COFFEE, GA",GA-Coffee,County,Y,N,Y,31.50861,-82.85,26917,26966,26766,Georgia,,,2003-02-24, ,31.36385,31.81618,-83.15114,-82.59626,,,2.062865301,0.148248072,31.54919682,-82.84921873
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13071,13,071,GA,Colquitt,"Colquitt County, Georgia","COLQUITT, GA",GA-Colquitt,County,Y,N,Y,31.17972,-83.78917,26917,26967,26767,Georgia,,,2003-02-24, ,31.02589,31.33491,-84.01387,-83.50563,,,1.714674714,0.136401165,31.18838547,-83.76880334
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13073,13,073,GA,Columbia,"Columbia County, Georgia","COLUMBIA, GA",GA-Columbia,County,Y,N,Y,33.53361,-82.13083,26917,26966,26766,Georgia,,,2003-02-24, ,33.35471,33.70064,-82.44285,-82.02824,,,1.355254531,0.077384397,33.54416358,-82.26403008
