OBJECTID,NAME,POP2010,POP10_SQMI,POP2012,POP12_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FIPS_I,FIPSST,FIPSCO,STPO,COUNTYNAME,CNTYDISP,CNTYSHORT,CNTYSORT,CNTYCATEGO,CNTYACTIVE,INDEPCITY,CNTYSTAND,SEATLAT,SEATLONG,NAD83UTM,NAD83STATE,NAD27STATE,STATENAME,CNTYSTARTD,CNTYENDD,LASTCHGD,NOTE,BOTTOM,TOP_,LEFT_,RIGHT_,OBJECTID_1,GlobalID,Shape_Length,Shape_Area,LAT,LONG
440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37037,37,037,NC,Chatham,"Chatham County, North Carolina","CHATHAM, NC",NC-Chatham,County,Y,N,Y,35.72,-79.1775,32119,32119,32019,North Carolina,,,2003-02-24, ,35.51515,35.87686,-79.5559,-78.906,,{5345952D-90CA-4BFF-8114-E5B7199F222A},2.274780359,0.183087505,35.7026024,-79.25543751
441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37051,37,051,NC,Cumberland,"Cumberland County, North Carolina","CUMBERLAND, NC",NC-Cumberland,County,Y,N,Y,35.0525,-78.87861,32119,32119,32019,North Carolina,,,2003-02-24, ,34.83429,35.26694,-79.11303,-78.49465,,{A48DA004-F35E-4B33-8BB5-F01282CBFC5C},2.202792395,0.168467159,35.04851269,-78.82735078
442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37153,37,153,NC,Richmond,"Richmond County, North Carolina","RICHMOND, NC",NC-Richmond,County,Y,N,Y,34.93917,-79.77417,32119,32119,32019,North Carolina,,,2003-02-24, ,34.80489,35.18342,-80.07571,-79.45897,,{4127B417-4B19-43EC-9FF9-B1AB240EA269},2.086848494,0.122741617,35.00586443,-79.74779013
443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37093,37,093,NC,Hoke,"Hoke County, North Carolina","HOKE, NC",NC-Hoke,County,Y,N,Y,34.98083,-79.22444,32119,32119,32019,North Carolina,,,2003-02-24, ,34.83338,35.21388,-79.45897,-79.03471,,{1464B348-EE03-4DDB-8DC0-5DE5287EC714},1.592539414,0.100345453,35.01729056,-79.23709105
444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37195,37,195,NC,Wilson,"Wilson County, North Carolina","WILSON, NC",NC-Wilson,County,Y,N,Y,35.72111,-77.91583,32119,32119,32019,North Carolina,,,2003-02-24, ,35.5727,35.86714,-78.19207,-77.66131,,{0173CE42-C303-4919-8A87-8A938E7E8950},1.352563401,0.096399805,35.70502861,-77.91865106
445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37073,37,073,NC,Gates,"Gates County, North Carolina","GATES, NC",NC-Gates,County,Y,N,Y,36.40333,-76.75333,32119,32119,32019,North Carolina,,,2003-02-24, ,36.30074,36.55209,-76.94994,-76.45369,,{575B3FB9-B709-4774-94A8-2A5672592FCB},1.659343844,0.08885494,36.44589326,-76.69916549
446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37083,37,083,NC,Halifax,"Halifax County, North Carolina","HALIFAX, NC",NC-Halifax,County,Y,N,Y,36.32833,-77.58972,32119,32119,32019,North Carolina,,,2003-02-24, ,36.00344,36.51203,-78.00654,-77.22973,,{1CBECF45-EBA6-445D-957A-7F7EE6F5C3A4},2.747580812,0.189901397,36.25746826,-77.6515921
447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37163,37,163,NC,Sampson,"Sampson County, North Carolina","SAMPSON, NC",NC-Sampson,County,Y,N,Y,34.99778,-78.32361,32119,32119,32019,North Carolina,,,2003-02-24, ,34.55388,35.31526,-78.67239,-78.11295,,{621EA3BD-4BF5-4710-87DC-255E81329189},2.831594388,0.242067197,34.99136702,-78.37128516
448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37189,37,189,NC,Watauga,"Watauga County, North Carolina","WATAUGA, NC",NC-Watauga,County,Y,N,Y,36.21667,-81.67472,32119,32119,32019,North Carolina,,,2003-02-24, ,36.11154,36.39116,-81.91817,-81.46119,,{788101E6-828A-43A4-B58C-9D38D7A7B7D0},1.394884828,0.081382876,36.23109138,-81.69632384
449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37017,37,017,NC,Bladen,"Bladen County, North Carolina","BLADEN, NC",NC-Bladen,County,Y,N,Y,34.62917,-78.60556,32119,32119,32019,North Carolina,,,2003-02-24, ,34.36709,34.85627,-78.90157,-78.1765,,{C280C415-48F3-4CA0-B05E-392ABB6F9BFF},2.678751793,0.225837407,34.61424311,-78.56296728
